Date,EUR= (BID),EURCNH= (BID),HBEHBEA (TRDPRC_1),HBEHBEAOTC (TRDPRC_1),EURCNY= (BID),
13/8/2015,1.1148,7.2054,,,7.1327,
14/8/2015,1.1106,7.1553,,,7.0929,
17/8/2015,1.108,7.1362,,,7.0756,
18/8/2015,1.1018,7.0951,,,7.0401,
19/8/2015,1.1117,7.183,,,7.1113,
20/8/2015,1.1241,7.2341,,,7.1572,
21/8/2015,1.1387,7.3416,,,7.2723,
24/8/2015,1.1618,7.5425,,,7.3759,
25/8/2015,1.1514,7.4966,,,7.377,
26/8/2015,1.1315,7.3375,,,7.2504,
27/8/2015,1.1243,7.2786,,,7.2008,
28/8/2015,1.1179,7.222,,,7.1446,
31/8/2015,1.1211,7.2203,,,7.1493,
01/9/2015,1.1317,7.2566,,,7.1902,
02/9/2015,1.1226,7.2298,,,7.1345,
03/9/2015,1.1121,7.1699,,,7.0684,
04/9/2015,1.1146,7.2057,,,7.083,
07/9/2015,1.1167,7.2342,,,7.0991,
08/9/2015,1.1199,7.2279,,,7.1235,
09/9/2015,1.1204,7.242,,,7.1373,
10/9/2015,1.1276,7.2022,,,7.1541,
11/9/2015,1.1339,7.2652,,,7.2148,
14/9/2015,1.1318,7.2461,,,7.2063,
15/9/2015,1.1266,7.2236,,,7.1687,
16/9/2015,1.1289,7.2265,,,7.1932,
17/9/2015,1.1435,7.313,,,7.2783,
18/9/2015,1.1305,7.2004,,,7.202,
21/9/2015,1.1186,7.1577,,,7.1208,
22/9/2015,1.1118,7.1339,,,7.0801,
23/9/2015,1.1185,7.2004,,,7.1356,
24/9/2015,1.1229,7.2051,,,7.1581,
25/9/2015,1.1194,7.1575,,,7.1277,
28/9/2015,1.1243,7.1479,,,7.151,
29/9/2015,1.1245,7.1359,,,7.1519,
30/9/2015,1.1176,7.1127,,,7.095,
01/10/2015,1.1194,7.1289,,,7.1021,
02/10/2015,1.1209,7.1221,,,7.1215,
05/10/2015,1.1185,7.1016,,,7.1002,
06/10/2015,1.1268,7.1587,,,7.1558,
07/10/2015,1.1235,7.1302,,,7.1323,
08/10/2015,1.1278,7.1492,,,7.1535,
09/10/2015,1.1354,7.1941,,,7.1982,
12/10/2015,1.1355,7.1807,,,7.1829,
13/10/2015,1.1376,7.215,,,7.2085,
14/10/2015,1.1473,7.2714,,,7.2667,
15/10/2015,1.1382,7.2235,,,7.2158,
16/10/2015,1.1346,7.2188,,,7.1967,
19/10/2015,1.1324,7.2347,,,7.195,
20/10/2015,1.1344,7.2297,,,7.1916,
21/10/2015,1.1336,7.2206,,,7.1904,
